well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,large_shift,reanchored,anchor_ref_day,n_reanchors,anchor_churn,well_registration_qc_pass,qc_note,row,column,common_crop
C12,PLD3_only_no_mCherry,25,488nm Binned,90.61476197495358,3.9461612058162245,0.005015249882848857,0.19750388775306923,0.9670724393995899,,True,False,False,16,2,0.25,True,anchored_masked_phase_cross_correlation,C,12,"{'y_start': 488, 'y_stop': 2747, 'x_start': 4, 'x_stop': 2693}"
C12,PLD3_only_no_mCherry,29,488nm Binned,55.61476197495358,-17.053838794183775,0.005232402991223539,0.20270558471572275,0.9747775796335133,,True,False,False,16,2,0.25,True,anchored_masked_phase_cross_correlation,C,12,"{'y_start': 488, 'y_stop': 2747, 'x_start': 4, 'x_stop': 2693}"
C12,PLD3_only_no_mCherry,32,488nm Binned,429.30831348455104,-173.15139197597546,0.008691827250349895,0.12475852447286219,0.7989746056623852,,True,False,False,16,2,0.25,True,anchored_masked_phase_cross_correlation,C,12,"{'y_start': 488, 'y_stop': 2747, 'x_start': 4, 'x_stop': 2693}"
C12,PLD3_only_no_mCherry,36,488nm Binned,-120.41664793639939,-181.89224958271234,0.012005838660488273,0.10503716175333783,0.8972552584396316,,True,False,False,16,2,0.25,True,anchored_masked_phase_cross_correlation,C,12,"{'y_start': 488, 'y_stop': 2747, 'x_start': 4, 'x_stop': 2693}"
C12,PLD3_only_no_mCherry,39,488nm Binned,720.474057512889,-138.81745170169597,0.00016309633337240469,0.2274076071994017,0.7125456784055983,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,12,"{'y_start': 488, 'y_stop': 2747, 'x_start': 4, 'x_stop': 2693}"
C09,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2696}"
C09,PLD3_only_no_mCherry,12,488nm Binned,-73.0,-134.0,0.006456895071075886,0.16571547526470565,0.9290135073887984,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2696}"
C09,PLD3_only_no_mCherry,16,488nm Binned,-34.0,-40.0,0.010103279819279906,0.1474276621694451,0.974363388440523,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2696}"
C09,PLD3_only_no_mCherry,20,488nm Binned,-54.0,-156.0,0.007584727350684916,0.12073548415792976,0.9278023844120376,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2696}"
C09,PLD3_only_no_mCherry,25,488nm Binned,89.40313947779941,4.949096665903198,0.009271514848383414,0.30779647477931044,0.9671555231097353,,True,False,True,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2696}"
C09,PLD3_only_no_mCherry,29,488nm Binned,55.403139477799414,-17.0509033340968,0.004636326419999118,0.2653831384677867,0.9748519321060073,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2696}"
C09,PLD3_only_no_mCherry,32,488nm Binned,465.0473180570116,-169.17522877118608,0.0005846888548933602,0.18002508881348175,0.7884272254072799,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2696}"
C09,PLD3_only_no_mCherry,36,488nm Binned,-86.612359572282,-182.94028408507802,0.0021354996871289487,0.12614218732723534,0.9079400536259437,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2696}"
C09,PLD3_only_no_mCherry,39,488nm Binned,793.6001715137245,-138.9252179931682,-0.0010380959672703183,0.25300094365395875,0.6882553725766831,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,09,"{'y_start': 531, 'y_stop': 2781, 'x_start': 5, 'x_stop': 2696}"
C11,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2693}"
C11,PLD3_only_no_mCherry,12,488nm Binned,-93.0,-134.0,0.0023626865814253242,0.1940116914361391,0.9223658257616871,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2693}"
C11,PLD3_only_no_mCherry,16,488nm Binned,-43.0,-40.0,0.004099326996584051,0.16515642783484644,0.9712690798674938,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2693}"
C11,PLD3_only_no_mCherry,20,488nm Binned,-77.0,-155.0,0.0018012704791956118,0.1292252564250742,0.9205583809418214,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2693}"
C11,PLD3_only_no_mCherry,25,488nm Binned,86.21090276713949,4.947145676178479,0.003321004708739019,0.10332008570929303,0.9682673154550364,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2693}"
C11,PLD3_only_no_mCherry,29,488nm Binned,57.21090276713949,-18.05285432382152,0.003972358265879109,0.31376822787645126,0.9738829712312111,,True,False,True,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2693}"
C11,PLD3_only_no_mCherry,32,488nm Binned,442.2212071093818,-172.15938069958975,-2.4145354771229263e-05,0.19466343398517674,0.795036584534979,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2693}"
C11,PLD3_only_no_mCherry,36,488nm Binned,-106.48210497289983,-181.90834895056832,-0.0008583210065350766,0.1147875512966221,0.9018003402688901,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2693}"
C11,PLD3_only_no_mCherry,39,488nm Binned,745.1822914230579,-138.8535618969472,-0.004060252552896731,0.27706265755065335,0.704338206529517,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,11,"{'y_start': 503, 'y_stop': 2761, 'x_start': 5, 'x_stop': 2693}"
D07,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,1,0.125,True,anchored_masked_phase_cross_correlation,D,07,"{'y_start': 562, 'y_stop': 2805, 'x_start': 6, 'x_stop': 2711}"
