experiment,well,config,method,ref_mode,timepoint,true_dy,true_dx,est_dy,est_dx,abs_err_px,post_corr,reg_error,overlap,qc_pass
E4_gradient,6,stride3,A_cli,anchored,1,0.1496848280420715,-4.603810571720146,-0.1,4.8,0.20238298818415074,0.9236466247398293,0.9999999986235929,0.9744921875,True
E4_gradient,6,stride3,A_cli,anchored,2,-4.679396089822512,-3.628311541970528,4.9,3.6,0.2224131933909192,0.9265650957801377,0.9999999986572433,0.9562076822916666,True
E4_gradient,6,stride3,A_cli,anchored,3,2.2362108612126548,-1.466420474796971,-2.1999999999999993,1.3000000000000003,0.17031441777316253,0.9229495818439677,0.9999999991500608,0.9818484157986112,True
E4_gradient,6,stride3,A_cli,anchored,4,5.07116189947131,-3.6197767480871033,-4.799999999999999,3.6,0.2718821352898901,0.8831300432420198,0.9999999989656428,0.9567187499999998,True
E4_gradient,6,stride3,A_cli,anchored,5,-4.4037918004461165,5.446500007881341,4.7,-5.6,0.3336188619718339,0.8565873767766069,0.9999999992041999,0.9470681423611111,True
E4_gradient,6,stride3,A_cli,anchored,6,3.746513962960911,-5.162931385284615,4.7,-5.6,13.681530986363999,0.6227958286498709,0.9999999995103394,0.9470681423611111,True
E4_gradient,6,stride3,A_cli,anchored,7,-3.0468524202825322,-2.4140660582858593,3.3000000000000003,2.2,0.33152371623589266,0.988468761800125,0.9999999994315323,0.9715511067708333,True
E4_gradient,6,stride3,A_cli,anchored,8,0.6085828747131057,-0.48724767418712434,-0.2999999999999998,0.20000000000000018,0.4215858357346895,0.9995439567623058,0.9999999993073304,0.9973974609374999,True
E4_gradient,6,stride4,A_cli,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E4_gradient,6,stride4,A_cli,anchored,1,0.1496848280420715,-4.603810571720146,-0.1,4.8,0.20238298818415074,0.9236466247398293,0.9999999986235929,0.9744921875,True
E4_gradient,6,stride4,A_cli,anchored,2,-4.679396089822512,-3.628311541970528,4.9,3.6,0.2224131933909192,0.9265650957801377,0.9999999986572433,0.9562076822916666,True
E4_gradient,6,stride4,A_cli,anchored,3,2.2362108612126548,-1.466420474796971,-2.3,1.4,0.09209089911324696,0.8645398083756554,0.9999999984274932,0.9808165147569444,True
E4_gradient,6,stride4,A_cli,anchored,4,5.07116189947131,-3.6197767480871033,-2.3,1.4,3.550598130516828,0.886440859140087,0.9999999990798011,0.9808165147569444,True
E4_gradient,6,stride4,A_cli,anchored,5,-4.4037918004461165,5.446500007881341,4.2,-5.5,0.21069728779879024,0.8645227897419338,0.9999999994627056,0.9501057942708334,True
